update_date,corp_date,corp_name,corp_rate,key_id
2016-06-19,2009-09-25,7775,2,777520090925
2016-06-19,2009-09-25,8737,1.25,873720090925
2016-06-19,2009-11-02,3264,1.0533,326420091102
2016-06-19,2009-11-02,7954,1.1379,795420091102
2016-06-19,2009-11-06,8844,0.1,884420091106
2016-06-19,2009-11-11,9363,1.0041,936320091111
2016-06-19,2009-11-16,3075,20,307520091116
2016-06-19,2009-11-26,2179,200,217920091126
2016-06-19,2009-11-26,2193,3,219320091126
2016-06-19,2009-11-26,2796,3,279620091126
2016-06-19,2009-11-26,3353,2,335320091126
2016-06-19,2009-12-16,2772,100,277220091216
2016-06-19,2009-12-28,2429,300,242920091228
2016-06-19,2009-12-28,2485,100,248520091228
2016-06-19,2009-12-28,2684,2,268420091228
2016-06-19,2009-12-28,2735,200,273520091228
2016-06-19,2009-12-28,3634,2,363420091228
2016-06-19,2010-01-27,8963,5,896320100127
2016-06-19,2010-02-24,3093,200,309320100224
2016-06-19,2010-02-24,3228,200,322820100224
2016-06-19,2010-02-24,7730,2,773020100224
2016-06-19,2010-02-24,8953,4,895320100224
2016-06-19,2010-02-24,9381,200,938120100224
2016-06-19,2010-03-29,2155,2,215520100329
2016-06-19,2010-03-29,2222,2,222220100329
2016-06-19,2010-03-29,2335,2,233520100329
2016-06-19,2010-03-29,2656,2,265620100329
2016-06-19,2010-03-29,3062,0.2,306220100329
2016-06-19,2010-03-29,4282,2,428220100329
2016-06-19,2010-03-29,4345,2,434520100329
2016-06-19,2010-03-29,7826,2,782620100329
2016-06-19,2010-03-29,8282,1.2,828220100329
2016-06-19,2010-03-29,8703,200,870320100329
2016-06-19,2010-03-29,8897,1.2298,889720100329
2016-06-19,2010-03-29,9422,400,942220100329
2016-06-19,2010-04-27,2695,200,269520100427
2016-06-19,2010-04-27,4712,2,471220100427
2016-06-19,2010-04-27,8880,2,888020100427
2016-06-19,2010-05-27,2432,300,243220100527
2016-06-19,2010-05-27,3627,3,362720100527
2016-06-19,2010-05-27,9446,500,944620100527
2016-06-19,2010-06-28,2154,5,215420100628
2016-06-19,2010-06-28,2193,2,219320100628
2016-06-19,2010-06-28,3054,300,305420100628
2016-06-19,2010-06-28,3250,2,325020100628
2016-06-19,2010-06-28,3836,200,383620100628
2016-06-19,2010-06-28,7707,2,770720100628
2016-06-19,2010-06-28,8986,4,898620100628
2016-06-19,2010-06-28,9405,10,940520100628
2016-06-19,2010-07-28,2311,200,231120100728
2016-06-19,2010-07-28,3036,2,303620100728
2016-06-19,2010-07-28,3121,0.1,312120100728
2016-06-19,2010-07-28,6632,0.1,663220100728
2016-06-19,2010-07-29,3113,0.1,311320100729
2016-06-19,2010-08-20,3064,2,306420100820
2016-06-19,2010-08-27,3815,2,381520100827
2016-06-19,2010-09-15,7821,2,782120100915
2016-06-19,2010-09-28,2138,2,213820100928
2016-06-19,2010-09-28,2148,100,214820100928
2016-06-19,2010-09-28,2418,3,241820100928
2016-06-19,2010-09-28,3360,100,336020100928
2016-06-19,2010-09-28,3393,200,339320100928
2016-06-19,2010-09-28,3632,5,363220100928
2016-06-19,2010-09-28,6401,1000,640120100928
2016-06-19,2010-09-28,6833,2,683320100928
2016-06-19,2010-09-28,7728,2,772820100928
2016-06-19,2010-09-28,8113,3,811320100928
2016-06-19,2010-09-28,8945,100,894520100928
2016-06-19,2010-09-28,8966,4,896620100928
2016-06-19,2010-10-18,8900,1.4348,890020101018
2016-06-19,2010-10-22,4571,1.0909,457120101022
2016-06-19,2010-11-10,2427,100,242720101110
2016-06-19,2010-11-26,2153,20,215320101126
2016-06-19,2010-11-26,3089,200,308920101126
2016-06-19,2010-11-26,3097,3,309720101126
2016-06-19,2010-11-26,6476,0.1,647620101126
2016-06-19,2010-11-26,8960,6,896020101126
2016-06-19,2010-12-16,4919,1.1,491920101216
2016-06-19,2010-12-28,2193,2,219320101228
2016-06-19,2010-12-28,3085,100,308520101228
2016-06-19,2010-12-28,3639,3,363920101228
2016-06-19,2010-12-28,3730,200,373020101228
2016-06-19,2010-12-28,4330,5,433020101228
2016-06-19,2010-12-28,4955,2,495520101228
2016-06-19,2010-12-28,6661,200,666120101228
2016-06-19,2011-01-27,2163,3,216320110127
2016-06-19,2011-01-27,3092,300,309220110127
2016-06-19,2011-01-27,3228,2,322820110127
2016-06-19,2011-01-27,3271,4,327120110127
2016-06-19,2011-02-04,3845,4,384520110204
2016-06-19,2011-02-23,9822,0.1,982220110223
2016-06-19,2011-02-24,2138,2,213820110224
2016-06-19,2011-02-24,2164,200,216420110224
2016-06-19,2011-02-24,3587,0.1,358720110224
2016-06-19,2011-02-24,3711,2,371120110224
2016-06-19,2011-02-24,6630,2,663020110224
2016-06-19,2011-03-11,3235,5,323520110311
2016-06-19,2011-03-29,1412,2,141220110329
2016-06-19,2011-03-29,2162,5,216220110329
2016-06-19,2011-03-29,2309,20,230920110329
2016-06-19,2011-03-29,2335,1.5,233520110329
2016-06-19,2011-03-29,2352,200,235220110329
2016-06-19,2011-03-29,2440,100,244020110329
2016-06-19,2011-03-29,2479,2,247920110329
2016-06-19,2011-03-29,3047,4,304720110329
2016-06-19,2011-03-29,3058,2,305820110329
2016-06-19,2011-03-29,3163,3,316320110329
2016-06-19,2011-03-29,3254,200,325420110329
2016-06-19,2011-03-29,4320,100,432020110329
2016-06-19,2011-03-29,4923,1.1,492320110329
2016-06-19,2011-03-29,4974,400,497420110329
2016-06-19,2011-03-29,6324,300,632420110329
2016-06-19,2011-03-29,6869,2,686920110329
2016-06-19,2011-03-29,7148,2,714820110329
2016-06-19,2011-03-29,8729,200,872920110329
2016-06-19,2011-03-29,8771,200,877120110329
2016-06-19,2011-04-26,1773,5,177320110426
2016-06-19,2011-04-26,3031,2,303120110426
2016-06-19,2011-04-26,4355,200,435520110426
2016-06-19,2011-05-11,7954,0.1,795420110511
2016-06-19,2011-05-11,8710,0.1,871020110511
2016-06-19,2011-05-13,8836,0.1,883620110513
2016-06-19,2011-05-27,1401,100,140120110527
2016-06-19,2011-05-27,2303,2,230320110527
2016-06-19,2011-05-27,2405,20,240520110527
2016-06-19,2011-05-27,2419,300,241920110527
2016-06-19,2011-05-27,2462,200,246220110527
2016-06-19,2011-05-27,2749,2,274920110527
2016-06-19,2011-06-28,1408,2,140820110628
2016-06-19,2011-06-28,1413,300,141320110628
2016-06-19,2011-06-28,2757,300,275720110628
2016-06-19,2011-06-28,3154,3,315420110628
2016-06-19,2011-06-28,3775,1.3,377520110628
2016-06-19,2011-06-28,3853,200,385320110628
2016-06-19,2011-06-28,3859,2,385920110628
2016-06-19,2011-06-28,6819,0.1,681920110628
2016-06-19,2011-06-28,7825,100,782520110628
2016-06-19,2011-06-28,9021,100,902120110628
2016-06-19,2011-07-12,4233,0.1,423320110712
2016-06-19,2011-07-20,3779,0.1,377920110720
2016-06-19,2011-07-27,2371,200,237120110727
2016-06-19,2011-07-27,2764,2,276420110727
2016-06-19,2011-07-27,3246,200,324620110727
2016-06-19,2011-07-27,3441,10,344120110727
2016-06-19,2011-07-27,6334,0.1,633420110727
2016-06-19,2011-07-27,6387,1.2,638720110727
2016-06-19,2011-08-11,2786,100,278620110811
2016-06-19,2011-08-11,3064,2,306420110811
2016-06-19,2011-08-29,1407,1.5,140720110829
2016-06-19,2011-08-29,2157,400,215720110829
2016-06-19,2011-08-29,2927,10,292720110829
2016-06-19,2011-08-29,3141,1.1,314120110829
2016-06-19,2011-08-29,3646,4,364620110829
2016-06-19,2011-08-29,6812,0.2,681220110829
2016-06-19,2011-08-29,7447,2,744720110829
2016-06-19,2011-08-29,7818,2,781820110829
2016-06-19,2011-09-28,1805,0.2,180520110928
2016-06-19,2011-09-28,2120,100,212020110928
2016-06-19,2011-09-28,2158,2,215820110928
2016-06-19,2011-09-28,2413,2,241320110928
2016-06-19,2011-09-28,2497,100,249720110928
2016-06-19,2011-09-28,2769,2,276920110928
2016-06-19,2011-09-28,3011,0.1,301120110928
2016-06-19,2011-09-28,3034,2,303420110928
2016-06-19,2011-09-28,3079,2,307920110928
2016-06-19,2011-09-28,3251,100,325120110928
2016-06-19,2011-09-28,3397,200,339720110928
